rapidez, referencia, tiempo, pid,0.629586543493,0.5,1431456294.71,-10,
rapidez, referencia, tiempo, pid,0.579586543493,0.5,1431456294.73,-10,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.74,-95.4367684783,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.75,39.2146488853,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.76,36.8650662489,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.78,34.5154836126,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.79,32.1659009762,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.8,29.8163183399,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.82,27.4667357035,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.83,25.1171530672,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.84,22.7675704308,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.85,20.4179877945,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.86,18.0684051581,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.88,15.7188225218,
rapidez, referencia, tiempo, pid,0.529586543493,0.5,1431456294.89,13.3692398854,
rapidez, referencia, tiempo, pid,0.592250340402,0.5,1431456294.9,-10,
rapidez, referencia, tiempo, pid,0.542250340402,0.5,1431456294.91,-10,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.92,-43.3076932533,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.93,94.3087373945,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.94,94.9241680424,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.96,95.5395986903,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.97,96.1550293382,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.98,96.770459986,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456294.99,97.3858906339,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.0,98.0013212818,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.01,98.6167519296,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.02,99.2321825775,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.04,99.8476132254,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.05,100,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.06,100,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.07,100,
rapidez, referencia, tiempo, pid,0.492250340402,0.5,1431456295.09,100,
rapidez, referencia, tiempo, pid,0.588722317715,0.5,1431456295.09,-10,
rapidez, referencia, tiempo, pid,0.538722317715,0.5,1431456295.11,-10,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.12,-46.1621657326,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.13,91.7344389358,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.14,92.6300436043,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.15,93.5256482727,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.17,94.4212529411,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.18,95.3168576096,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.19,96.212462278,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.2,97.1080669465,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.21,98.0036716149,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.22,98.8992762834,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.24,99.7948809518,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.25,100,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.26,100,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.27,100,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.28,100,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.29,100,
rapidez, referencia, tiempo, pid,0.488722317715,0.5,1431456295.31,100,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.32,-10,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.33,19.4605715447,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.35,18.0679154483,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.36,16.6752593519,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.37,15.2826032554,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.38,13.889947159,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.4,12.4972910625,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.41,11.1046349661,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.42,9.71197886965,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.43,8.31932277321,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.44,6.92666667677,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.46,5.53401058033,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.47,4.14135448389,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.48,2.74869838745,
rapidez, referencia, tiempo, pid,0.517536680571,0.5,1431456295.49,1.35604229101,
rapidez, referencia, tiempo, pid,0.467536680571,0.5,1431456295.5,-0.0366138054308,
rapidez, referencia, tiempo, pid,0.587292809209,0.5,1431456295.51,-10,
rapidez, referencia, tiempo, pid,0.537292809209,0.5,1431456295.52,-10,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.54,-74.9655871555,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.55,63.0445403503,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.56,64.0536678561,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.57,65.0627953619,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.58,66.0719228677,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.59,67.0810503735,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.61,68.0901778793,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.62,69.0993053851,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.63,70.1084328909,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.64,71.1175603967,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.65,72.1266879024,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.67,73.1358154082,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.68,74.144942914,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.69,75.1540704198,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.7,76.1631979256,
rapidez, referencia, tiempo, pid,0.487292809209,0.5,1431456295.71,77.1723254314,
rapidez, referencia, tiempo, pid,0.555854732088,0.5,1431456295.72,-10,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.73,-10,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.74,13.0053601392,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.75,12.5404130642,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.77,12.0754659892,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.78,11.6105189143,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.79,11.1455718393,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.8,10.6806247643,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.82,10.2156776894,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.83,9.75073061441,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.84,9.28578353945,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.85,8.82083646448,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.86,8.35588938952,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.87,7.89094231456,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.88,7.42599523959,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.9,6.96104816463,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.91,6.49610108966,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.92,6.0311540147,
rapidez, referencia, tiempo, pid,0.505854732088,0.5,1431456295.93,5.56620693973,
rapidez, referencia, tiempo, pid,0.52006504315,0.5,1431456295.94,-10,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456295.95,-40.5279107187,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456295.96,98.8503407792,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456295.98,100,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456295.99,100,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456296.0,100,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456296.01,100,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456296.02,100,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456296.03,100,
rapidez, referencia, tiempo, pid,0.47006504315,0.5,1431456296.04,100,
