rapidez, referencia, distancia, pid,0.533949041639,0.33,0.62832,-7.13458790478,
rapidez, referencia, distancia, pid,0.533949041639,0.33,0.62832,100,
rapidez, referencia, distancia, pid,0.533949041639,0.33,0.62832,97.4736368426,
rapidez, referencia, distancia, pid,0.533949041639,0.33,0.62832,81.2772492163,
rapidez, referencia, distancia, pid,0.682043824678,0.33,0.753984,-10,
rapidez, referencia, distancia, pid,0.632043824678,0.33,0.753984,-10,
rapidez, referencia, distancia, pid,0.582043824678,0.33,0.753984,-10,
rapidez, referencia, distancia, pid,0.532043824678,0.33,0.753984,-10,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,-33.4347999768,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,91.491807808,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,79.4174155927,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,67.3430233774,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,55.2686311621,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,43.1942389468,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,31.1198467315,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,19.0454545162,
rapidez, referencia, distancia, pid,0.482043824678,0.33,0.753984,6.9710623009,
rapidez, referencia, distancia, pid,0.432043824678,0.33,0.753984,-5.10332991439,
rapidez, referencia, distancia, pid,0.432043824678,0.33,0.753984,100,
rapidez, referencia, distancia, pid,0.432043824678,0.33,0.753984,100,
rapidez, referencia, distancia, pid,0.58253569414,0.33,0.879648,-10,
rapidez, referencia, distancia, pid,0.53253569414,0.33,0.879648,-10,
rapidez, referencia, distancia, pid,0.48253569414,0.33,0.879648,-10,
rapidez, referencia, distancia, pid,0.43253569414,0.33,0.879648,-94.9364392975,
rapidez, referencia, distancia, pid,0.43253569414,0.33,0.879648,33.9218019306,
rapidez, referencia, distancia, pid,0.43253569414,0.33,0.879648,25.7790431587,
rapidez, referencia, distancia, pid,0.43253569414,0.33,0.879648,17.6362843868,
rapidez, referencia, distancia, pid,0.43253569414,0.33,0.879648,9.49352561491,
rapidez, referencia, distancia, pid,0.43253569414,0.33,0.879648,1.350766843,
rapidez, referencia, distancia, pid,0.38253569414,0.33,0.879648,-6.7919919289,
rapidez, referencia, distancia, pid,0.38253569414,0.33,0.879648,100,
rapidez, referencia, distancia, pid,0.38253569414,0.33,0.879648,100,
rapidez, referencia, distancia, pid,0.38253569414,0.33,0.879648,100,
rapidez, referencia, distancia, pid,0.38253569414,0.33,0.879648,100,
rapidez, referencia, distancia, pid,0.38253569414,0.33,0.879648,100,
rapidez, referencia, distancia, pid,0.627978922351,0.33,1.005312,-10,
