rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.303760518041,0.33,100,
rapidez, referencia, pid,0.460416593171,0.33,-10,
rapidez, referencia, pid,0.410416593171,0.33,-10,
rapidez, referencia, pid,0.360416593171,0.33,-10,
rapidez, referencia, pid,0.310416593171,0.33,-22.4996699368,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.310416593171,0.33,100,
rapidez, referencia, pid,0.487220577341,0.33,-10,
rapidez, referencia, pid,0.437220577341,0.33,-10,
rapidez, referencia, pid,0.387220577341,0.33,-10,
rapidez, referencia, pid,0.337220577341,0.33,-10,
rapidez, referencia, pid,0.337220577341,0.33,21.8117783877,
rapidez, referencia, pid,0.337220577341,0.33,21.2383642222,
rapidez, referencia, pid,0.337220577341,0.33,20.6649500568,
rapidez, referencia, pid,0.337220577341,0.33,20.0915358913,
rapidez, referencia, pid,0.337220577341,0.33,19.5181217259,
rapidez, referencia, pid,0.337220577341,0.33,18.9447075604,
rapidez, referencia, pid,0.337220577341,0.33,18.371293395,
rapidez, referencia, pid,0.337220577341,0.33,17.7978792295,
rapidez, referencia, pid,0.337220577341,0.33,17.224465064,
rapidez, referencia, pid,0.337220577341,0.33,16.6510508986,
rapidez, referencia, pid,0.337220577341,0.33,16.0776367331,
rapidez, referencia, pid,0.337220577341,0.33,15.5042225677,
rapidez, referencia, pid,0.590557363087,0.33,-10,
rapidez, referencia, pid,0.540557363087,0.33,-10,
rapidez, referencia, pid,0.490557363087,0.33,-10,
rapidez, referencia, pid,0.440557363087,0.33,-10,
rapidez, referencia, pid,0.390557363087,0.33,-10,
rapidez, referencia, pid,0.340557363087,0.33,-10,
rapidez, referencia, pid,0.290557363087,0.33,-82.8920352918,
rapidez, referencia, pid,0.290557363087,0.33,57.2412581051,
rapidez, referencia, pid,0.290557363087,0.33,60.3735515021,
rapidez, referencia, pid,0.290557363087,0.33,63.505844899,
rapidez, referencia, pid,0.290557363087,0.33,66.638138296,
rapidez, referencia, pid,0.290557363087,0.33,69.770431693,
rapidez, referencia, pid,0.290557363087,0.33,72.9027250899,
rapidez, referencia, pid,0.290557363087,0.33,76.0350184869,
rapidez, referencia, pid,0.290557363087,0.33,79.1673118839,
rapidez, referencia, pid,0.290557363087,0.33,82.2996052808,
rapidez, referencia, pid,0.290557363087,0.33,85.4318986778,
rapidez, referencia, pid,0.290557363087,0.33,88.5641920747,
rapidez, referencia, pid,0.290557363087,0.33,91.6964854717,
rapidez, referencia, pid,0.290557363087,0.33,94.8287788687,
rapidez, referencia, pid,0.45878769682,0.33,-10,
rapidez, referencia, pid,0.40878769682,0.33,-10,
rapidez, referencia, pid,0.35878769682,0.33,-10,
rapidez, referencia, pid,0.30878769682,0.33,-10,
rapidez, referencia, pid,0.30878769682,0.33,13.5931107149,
rapidez, referencia, pid,0.30878769682,0.33,15.2776623166,
rapidez, referencia, pid,0.30878769682,0.33,16.9622139182,
rapidez, referencia, pid,0.30878769682,0.33,18.6467655199,
rapidez, referencia, pid,0.30878769682,0.33,20.3313171216,
rapidez, referencia, pid,0.30878769682,0.33,22.0158687232,
rapidez, referencia, pid,0.30878769682,0.33,23.7004203249,
rapidez, referencia, pid,0.30878769682,0.33,25.3849719266,
rapidez, referencia, pid,0.30878769682,0.33,27.0695235282,
rapidez, referencia, pid,0.30878769682,0.33,28.7540751299,
rapidez, referencia, pid,0.30878769682,0.33,30.4386267316,
rapidez, referencia, pid,0.30878769682,0.33,32.1231783332,
rapidez, referencia, pid,0.30878769682,0.33,33.8077299349,
rapidez, referencia, pid,0.30878769682,0.33,35.4922815366,
rapidez, referencia, pid,0.30878769682,0.33,37.1768331382,
rapidez, referencia, pid,0.486809671681,0.33,-10,
rapidez, referencia, pid,0.436809671681,0.33,-10,
rapidez, referencia, pid,0.386809671681,0.33,-10,
